"","date_tag","Y","M","D"
"1","2002-6-early",2002,6,6
"2","2002-6-late",2002,6,26
"3","2002-7-early",2002,7,12
"4","2002-7-late",2002,7,29
"5","2002-8-early",2002,8,9
"6","2002-8-late",2002,8,23
"7","2002-9-early",2002,9,10
"8","2002-9-late",2002,9,26
"9","2002-10-early",2002,10,10
"10","2002-10-late",2002,10,23
"11","2002-11-early",2002,11,6
"12","2002-11-late",2002,11,27
"13","2002-12-early",2002,12,11
"14","2002-12-late",2002,12,31
"15","2003-1-early",2003,1,6
"16","2003-1-late",2003,1,16
"17","2003-2-early",2003,2,2
"18","2003-2-late",2003,2,14
"19","2003-3-early",2003,3,15
"20","2003-3-late",2003,3,27
"21","2003-4-early",2003,4,9
"22","2003-4-late",2003,4,17
"23","2003-5-early",2003,5,11
"24","2003-5-late",2003,5,24
"25","2003-6-early",2003,6,6
"26","2003-6-late",2003,6,28
"27","2003-7-early",2003,7,9
"28","2003-7-late",2003,7,29
"29","2003-8-early",2003,8,5
"30","2003-8-late",2003,8,25
"31","2003-9-early",2003,9,10
"32","2003-9-late",2003,9,28
"33","2003-10-early",2003,10,9
"34","2003-10-late",2003,10,23
"35","2003-11-early",2003,11,13
"36","2003-11-late",2003,11,25
"37","2003-12-early",2003,12,4
"38","2003-12-late",2003,12,22
"39","2004-1-early",2004,1,5
"40","2004-1-late",2004,1,20
"41","2004-2-early",2004,1,31
"42","2004-2-late",2004,2,15
"43","2004-3-early",2004,3,8
"44","2004-3-late",2004,3,22
"45","2004-4-early",2004,4,6
"46","2004-4-late",2004,4,28
"47","2004-5-early",2004,5,14
"48","2004-5-late",2004,5,28
"49","2004-6-early",2004,6,3
"50","2004-6-late",2004,6,23
"51","2004-7-early",2004,7,5
"52","2004-7-late",2004,7,27
"53","2004-8-early",2004,8,2
"54","2004-8-late",2004,8,26
"55","2004-9-early",2004,9,12
"56","2004-9-late",2004,9,27
"57","2004-10-early",2004,10,11
"58","2004-10-late",2004,10,28
"59","2004-11-early",2004,11,8
"60","2004-11-late",2004,11,22
"61","2004-12-early",2004,12,13
"62","2004-12-late",2004,12,29
"63","2005-1-early",2005,1,5
"64","2005-1-late",2005,1,15
"65","2005-2-early",2005,2,7
"66","2005-2-late",2005,2,14
"67","2005-3-early",2005,3,14
"68","2005-3-late",2005,3,28
"69","2005-4-early",2005,4,5
"70","2005-4-late",2005,4,22
"71","2005-5-early",2005,5,3
"72","2005-5-late",2005,5,27
"73","2005-6-early",2005,6,6
"74","2005-6-late",2005,6,21
"75","2005-7-early",2005,7,7
"76","2005-7-late",2005,7,26
"77","2005-8-early",2005,8,3
"78","2005-8-late",2005,8,19
"79","2005-8-early",2005,8,31
"80","2005-9-late",2005,9,21
"81","2005-10-early",2005,10,8
"82","2005-10-late",2005,10,25
"83","2005-11-early",2005,10,31
"84","2005-11-late",2005,11,24
"85","2005-12-early",2005,11,30
"86","2005-12-late",2005,12,27
"87","2006-1-early",2006,1,9
"88","2006-1-late",2006,1,26
"89","2006-2-early",2006,2,9
"90","2006-2-late",2006,2,21
"91","2006-3-early",2006,3,7
"92","2006-3-late",2006,3,23
"93","2006-4-early",2006,4,15
"94","2006-4-late",2006,4,27
"95","2006-5-early",2006,5,11
"96","2006-5-late",2006,5,25
"97","2006-6-early",2006,6,6
"98","2006-6-late",2006,6,19
"99","2006-7-early",2006,7,12
"100","2006-7-late",2006,7,27
"101","2006-8-early",2006,8,9
"102","2006-8-late",2006,8,24
"103","2006-9-early",2006,8,31
"104","2006-9-late",2006,9,24
"105","2006-10-early",2006,10,8
"106","2006-10-late",2006,10,26
"107","2006-11-early",2006,11,8
"108","2006-11-late",2006,11,21
"109","2006-12-early",2006,12,4
"110","2006-12-late",2006,12,20
"111","2007-1-early",2007,1,4
"112","2007-1-late",2007,1,15
"113","2007-2-early",2007,1,31
"114","2007-2-late",2007,2,20
"115","2007-3-early",2007,3,9
"116","2007-3-late",2007,3,20
"117","2007-4-early",2007,4,10
"118","2007-4-late",2007,4,19
"119","2007-5-early",2007,5,13
"120","2007-5-late",2007,5,21
"121","2007-6-early",2007,6,3
"122","2007-6-late",2007,6,20
"123","2007-7-early",2007,7,12
"124","2007-7-late",2007,7,26
"125","2007-8-early",2007,8,12
"126","2007-8-late",2007,8,23
"127","2007-9-early",2007,9,6
"128","2007-9-late",2007,9,20
"129","2007-10-early",2007,10,8
"130","2007-10-late",2007,10,17
"131","2007-11-early",2007,11,7
"132","2007-11-late",2007,11,16
"133","2007-12-early",2007,12,3
"134","2007-12-late",2007,12,19
"135","2008-1-early",2008,1,6
"136","2008-1-late",2008,1,19
"137","2008-2-early",2008,2,5
"138","2008-2-late",2008,2,24
"139","2008-3-early",2008,3,6
"140","2008-3-late",2008,3,17
"141","2008-4-early",2008,4,8
"142","2008-4-late",2008,4,21
"143","2008-5-early",2008,5,7
"144","2008-5-late",2008,5,21
"145","2008-6-early",2008,6,6
"146","2008-6-late",2008,6,17
"147","2008-7-early",2008,7,2
"148","2008-7-late",2008,7,24
"149","2008-8-early",2008,8,5
"150","2008-8-late",2008,8,30
"151","2008-9-early",2008,9,11
"152","2008-9-late",2008,9,23
"153","2008-10-early",2008,10,5
"154","2008-10-late",2008,10,15
"155","2008-11-early",2008,11,4
"156","2008-11-late",2008,11,25
"157","2008-12-early",2008,12,1
"158","2008-12-late",2008,12,19
"159","2009-1-early",2009,1,7
"160","2009-1-late",2009,1,19
"161","2009-2-early",2009,2,10
"162","2009-2-late",2009,2,27
"163","2009-3-early",2009,3,11
"164","2009-3-late",2009,3,20
"165","2009-4-early",2009,4,2
"166","2009-4-late",2009,4,28
"167","2009-5-early",2009,5,10
"168","2009-5-late",2009,5,19
"169","2009-6-early",2009,6,11
"170","2009-6-late",2009,6,24
"171","2009-7-early",2009,7,2
"172","2009-7-late",2009,7,28
"173","2009-8-early",2009,8,15
"174","2009-8-late",2009,8,28
"175","2009-9-early",2009,9,2
"176","2009-9-late",2009,9,23
"177","2009-10-early",2009,10,4
"178","2009-10-late",2009,10,20
"179","2009-11-early",2009,11,4
"180","2009-11-late",2009,11,26
"181","2009-12-early",2009,12,1
"182","2009-12-late",2009,12,28
"183","2010-1-early",2010,1,11
"184","2010-1-late",2010,1,24
"185","2010-2-early",2010,2,1
"186","2010-2-late",2010,2,16
"187","2010-3-early",2010,3,2
"188","2010-3-late",2010,3,29
"189","2010-4-early",2010,4,5
"190","2010-4-late",2010,4,25
"191","2010-5-early",2010,5,8
"192","2010-5-late",2010,5,27
"193","2010-6-early",2010,6,8
"194","2010-6-late",2010,6,23
"195","2010-7-early",2010,7,7
"196","2010-7-late",2010,7,20
"197","2010-8-early",2010,8,9
"198","2010-8-late",2010,8,18
"199","2010-9-early",2010,9,6
"200","2010-9-late",2010,9,16
"201","2010-10-early",2010,10,6
"202","2010-10-late",2010,10,19
"203","2010-11-early",2010,11,3
"204","2010-11-late",2010,11,25
"205","2010-12-early",2010,12,4
"206","2010-12-late",2010,12,26
"207","2011-1-early",2011,1,3
"208","2011-1-late",2011,1,17
"209","2011-2-early",2011,2,3
"210","2011-2-late",2011,2,14
"211","2011-3-early",2011,2,28
"212","2011-3-late",2011,3,22
"213","2011-4-early",2011,4,4
"214","2011-4-late",2011,4,27
"215","2011-5-early",2011,5,1
"216","2011-5-late",2011,5,30
"217","2011-6-early",2011,6,6
"218","2011-6-late",2011,6,20
"219","2011-7-early",2011,6,30
"220","2011-7-late",2011,7,21
"221","2011-8-early",2011,8,3
"222","2011-8-late",2011,8,23
"223","2011-9-early",2011,9,5
"224","2011-9-late",2011,9,15
"225","2011-10-early",2011,10,10
"226","2011-10-late",2011,10,16
"227","2011-11-early",2011,11,1
"228","2011-11-late",2011,11,23
"229","2011-12-early",2011,12,12
"230","2011-12-late",2011,12,27
"231","2012-1-early",2012,1,9
"232","2012-1-late",2012,1,15
"233","2012-2-early",2012,2,9
"234","2012-2-late",2012,2,19
"235","2012-3-early",2012,3,5
"236","2012-3-late",2012,3,18
"237","2012-4-early",2012,4,5
"238","2012-4-late",2012,4,24
"239","2012-5-early",2012,5,13
"240","2012-5-late",2012,5,21
"241","2012-6-early",2012,6,6
"242","2012-6-late",2012,6,17
"243","2012-7-early",2012,7,9
"244","2012-7-late",2012,7,24
"245","2012-8-early",2012,8,8
"246","2012-8-late",2012,8,22
"247","2012-9-early",2012,9,3
"248","2012-9-late",2012,9,19
"249","2012-10-early",2012,10,4
"250","2012-10-late",2012,10,24
"251","2012-11-early",2012,11,7
"252","2012-11-late",2012,11,15
"253","2012-12-early",2012,12,2
"254","2012-12-late",2012,12,16
"255","2013-1-early",2013,1,7
"256","2013-1-late",2013,1,28
"257","2013-2-early",2013,2,3
"258","2013-2-late",2013,2,25
"259","2013-3-early",2013,3,5
"260","2013-3-late",2013,3,20
"261","2013-4-early",2013,4,4
"262","2013-4-late",2013,4,21
"263","2013-5-early",2013,5,8
"264","2013-5-late",2013,5,23
"265","2013-6-early",2013,6,9
"266","2013-6-late",2013,6,16
"267","2013-7-early",2013,7,7
"268","2013-7-late",2013,7,25
"269","2013-8-early",2013,8,12
"270","2013-8-late",2013,8,21
"271","2013-9-early",2013,9,13
"272","2013-9-late",2013,9,26
"273","2013-10-early",2013,10,5
"274","2013-10-late",2013,10,21
"275","2013-11-early",2013,11,5
"276","2013-11-late",2013,11,21
"277","2013-12-early",2013,12,2
"278","2013-12-late",2013,12,25
"279","2014-1-early",2014,1,6
"280","2014-1-late",2014,1,22
"281","2014-2-early",2014,2,12
"282","2014-2-late",2014,2,23
"283","2014-3-early",2014,3,3
"284","2014-3-late",2014,3,23
"285","2014-4-early",2014,4,1
